,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,pred
0,2017-05-17,17.3,18.29,17.93,17.18,60159.87,0.33,1.88,18.65,19.588,20.027,165068.53,227610.29,228022.98,1.51,17.93
1,2017-05-12,18.58,18.85,17.6,17.13,112832.21,-1.04,-5.58,19.195999999999998,19.906,20.098,262222.81,240776.55,238964.07,2.82,17.93
2,2017-05-05,19.2,19.76,18.64,18.5,110871.24,-0.81,-4.17,20.058,20.34,20.21,308804.25,252592.55,250126.94,2.77,17.6
3,2017-04-28,19.58,19.58,19.45,18.26,162823.72,-0.18,-0.92,20.266,20.669,20.202,316834.73,282123.52,265037.15,4.08,18.64
4,2017-04-21,20.67,21.78,19.63,19.21,378655.62,-1.03,-4.99,20.368,20.883000000000003,20.199,322932.8,312344.39,270238.93,9.48,19.45
5,2017-04-14,21.3,22.66,20.66,19.72,545931.25,-1.25,-5.71,20.526,20.965,20.271,290152.04,311074.34,272649.0,13.66,19.63
6,2017-04-07,19.73,22.36,21.91,19.73,345739.44,2.23,11.33,20.616,20.816,20.508000000000003,219330.29,257308.72,256694.37,8.65,20.66
7,2017-03-31,19.91,20.27,19.68,19.54,151023.64,-0.28,-1.4,20.622,20.544,20.668000000000003,196380.85,227309.64,264002.09,3.78,21.91
8,2017-03-24,20.4,20.62,19.96,19.28,193314.06,-0.46,-2.25,21.072,20.488000000000003,20.849,247412.31,225935.42,282829.07,4.84,19.68
9,2017-03-17,20.92,21.2,20.42,20.0,214751.83,-0.69,-3.27,21.398000000000003,20.488000000000003,21.046,301755.98,227409.14,301119.22,5.37,19.96
10,2017-03-10,22.13,22.2,21.11,20.84,191822.5,-0.83,-3.78,21.404,20.465,21.073,331996.64,228435.67,299384.11,4.8,20.42
11,2017-03-03,21.82,22.48,21.94,21.5,230992.2,0.01,0.05,21.016,20.289,21.105,295287.14,237151.58,306692.05,5.78,21.11
12,2017-02-24,21.46,22.82,21.93,20.73,406180.94,0.34,1.57,20.465999999999998,20.079,21.088,258238.44,247661.33,314301.49,10.17,21.94
13,2017-02-17,20.38,22.38,21.59,20.27,465032.41,1.14,5.58,19.904,19.734,21.051,204458.54,247950.78,311620.51,11.64,21.93
14,2017-02-10,19.35,21.2,20.45,19.35,365955.16,1.28,6.68,19.578,19.515,21.068,153062.31,228133.47,298617.69,9.16,21.59
15,2017-02-03,19.13,19.28,19.17,18.81,8275.0,-0.02,-0.1,19.526,19.577,21.199,124874.7,234223.65,319922.96,0.21,20.45
16,2017-01-26,19.11,19.44,19.19,19.01,45748.69,0.07,0.37,19.562,20.2,21.383000000000003,179016.02,256080.03,349964.76,1.14,19.17
17,2017-01-20,19.95,19.95,19.12,17.96,137281.42,-0.84,-4.21,19.692,20.791999999999998,21.511,237084.22,300694.54,361692.68,3.44,19.19
18,2017-01-13,20.38,20.83,19.96,19.75,208051.27,-0.23,-1.14,19.564,21.21,21.660999999999998,291443.02,339722.72,391402.31,5.21,19.12
19,2017-01-06,19.4,20.5,20.19,19.3,225017.12,0.84,4.34,19.452,21.603,21.73,303204.64,374829.3,402288.53,5.63,19.96
20,2016-12-30,19.81,20.43,19.35,19.0,278981.59,-0.49,-2.47,19.628,21.680999999999997,21.803,343572.59,370332.55,426945.12,6.98,20.19
21,2016-12-23,18.5,20.48,19.84,18.2,336089.72,1.36,7.36,20.838,21.921,21.872,333144.03,376232.52,463481.75,8.41,19.35
22,2016-12-16,19.48,19.92,18.48,17.18,409075.41,-0.92,-4.74,21.892,22.096999999999998,21.878,364304.86,380941.66,470198.47,10.24,19.84
23,2016-12-09,20.85,21.39,19.4,19.37,266859.34,-1.67,-7.93,22.855999999999998,22.368000000000002,21.87,388002.42,375290.25,468916.28,6.68,18.48
24,2016-12-02,25.0,25.1,21.07,20.75,426856.91,-4.33,-17.05,23.754,22.62,21.823,446453.96,369101.91,467539.47,10.68,19.4
25,2016-11-16,25.22,25.52,25.4,24.15,226838.78,0.29,1.16,23.734,22.820999999999998,21.54,397092.51,405622.28,448706.51,5.68,21.07
26,2016-11-11,23.11,25.4,25.11,22.84,491893.84,1.81,7.77,23.004,22.566,21.008000000000003,419321.01,443849.5,444367.27,12.31,25.4
27,2016-11-04,23.78,24.75,23.3,22.65,527563.25,-0.59,-2.47,22.302,22.229,20.511999999999997,397578.46,422690.83,433834.88,13.2,25.11
28,2016-10-28,21.15,24.56,23.89,21.04,559117.0,2.92,13.93,21.88,22.111,20.089000000000002,362578.07,443081.9,418302.94,13.99,23.3
29,2016-10-21,21.99,22.09,20.97,20.78,180049.66,-0.78,-3.59,21.486,21.855999999999998,19.699,291749.86,429747.76,399643.5,4.51,23.89
30,2016-10-14,21.9,23.25,21.75,21.11,337981.28,0.15,0.69,21.908,21.925,19.415,414152.05,483557.69,399119.56,8.46,20.97
31,2016-09-30,21.03,21.85,21.6,19.19,383181.09,0.41,1.94,22.128,21.823,19.026,468377.99,550730.98,391024.9,9.59,21.75
32,2016-09-23,21.95,22.1,21.19,20.44,352561.31,-0.73,-3.33,22.156,21.659000000000002,18.725,447803.19,559455.28,382207.16,12.07,21.6
33,2016-09-14,22.5,22.77,21.92,21.5,204975.95,-1.16,-5.03,22.342,21.372,18.436,523585.73,562542.31,378751.35,7.02,21.19
34,2016-09-09,22.57,24.94,23.08,22.57,792060.62,0.23,1.01,22.226,21.025,18.224,567745.66,565977.04,379685.58,27.11,21.92
35,2016-09-02,21.87,23.8,22.85,20.61,609111.0,1.11,5.11,21.941999999999997,20.259,18.219,552963.32,491790.74,352030.97,20.85,23.08
36,2016-08-26,22.08,22.41,21.74,21.38,280307.09,-0.38,-1.72,21.518,19.449,18.236,633083.97,444885.03,337217.02,9.59,22.85
37,2016-08-19,21.6,23.04,22.12,21.18,731474.0,0.78,3.65,21.162,18.794,18.348,671107.37,444978.94,339883.69,25.04,21.74
38,2016-08-12,21.41,21.7,21.34,20.71,425775.59,-0.32,-1.48,20.402,18.067,18.337,601498.88,393523.98,320887.0,14.57,22.12
39,2016-08-05,20.37,22.7,21.66,20.03,718148.94,0.93,4.49,19.824,17.541,18.342,564208.41,369539.24,315120.2,24.58,21.34
40,2016-07-29,20.17,23.35,20.73,20.0,1009714.25,0.77,3.86,18.576,16.905,18.317999999999998,430618.15,314681.44,297592.91,34.56,21.66
41,2016-07-22,18.0,20.8,19.96,17.9,470424.06,1.64,8.95,17.38,16.229,18.493,256686.09,231318.82,279622.84,16.1,20.73
42,2016-07-15,18.0,18.79,18.32,17.05,383431.56,-0.13,-0.7,16.426,15.79,18.742,218850.52,204959.04,294051.68,13.12,19.96
43,2016-07-08,16.96,19.5,18.45,16.96,239323.25,3.03,19.65,15.732000000000001,15.5,18.942999999999998,185549.09,194960.4,297669.02,8.19,18.32
44,2016-03-15,15.02,15.55,15.42,15.02,50197.64,0.67,4.54,15.258,15.422,19.051,174870.08,193394.13,311152.31,1.72,18.45
45,2016-03-11,15.17,15.77,14.75,14.49,140053.94,-0.44,-2.9,15.234000000000002,16.178,19.401,198744.73,212271.21,338706.92,4.79,15.42
46,2016-03-04,14.82,16.71,15.19,13.8,281246.19,0.34,2.29,15.078,17.022000000000002,19.684,205951.54,229549.0,365886.2,9.63,14.75
47,2016-02-26,16.35,16.75,14.85,14.31,216924.42,-1.23,-7.65,15.154000000000002,17.902,19.734,191067.57,234788.43,358028.82,7.43,15.19
48,2016-02-19,14.68,16.7,16.08,14.54,185928.19,0.78,5.1,15.267999999999999,18.605999999999998,19.775,204371.72,248250.02,357443.95,6.36,14.85
49,2016-02-05,13.99,15.9,15.3,13.9,169570.92,1.33,9.52,15.585999999999999,19.143,19.735,211918.19,260701.16,365984.74,5.8,16.08
50,2016-01-29,15.78,16.15,13.97,13.26,176088.0,-1.6,-10.28,17.122,19.73,19.671,225797.68,280504.38,379913.78,6.03,15.3
51,2016-01-22,14.97,16.38,15.57,14.7,206826.31,0.15,0.97,18.965999999999998,20.756,19.776,253146.45,327926.86,391361.22,7.08,13.97
